code,title,location
ASC233,International Migration and Multicultural Societies,Burwood (Melbourne)
ASC250,Contemporary Social Research,Burwood (Melbourne)
ASC287,"Love, Sex and Relationships",Burwood (Melbourne)
ASC304,Culture and Control: Boundaries and Identities,Burwood (Melbourne)
ASC308,"Social Theory Rewired: Power, Passion and Post Humanism",Burwood (Melbourne)
ASP109,Freedom and Power: Existentialism and Beyond,Burwood (Melbourne)
ASP129,"Love, Sex and Death",Burwood (Melbourne)
ASP208,Introduction to Logical Reasoning,Burwood (Melbourne)
ASP210,Plato and Nietzsche,Burwood (Melbourne)
ASP214,Justice and Equality,Burwood (Melbourne)
ASP215,"Philosophy, Happiness, and the Good Life",Burwood (Melbourne)
ASP216,Ethics in Global Society,Burwood (Melbourne)
ASP224,Freud and Philosophy,Burwood (Melbourne)
ASP227,"Philosophies of Religion: Western, Asian, and Contemporary Inquiries",Burwood (Melbourne)
ASP228,"Philosophy, Art, Film",Burwood (Melbourne)
ASP309,20th Century French Philosophy,Burwood (Melbourne)
ASP326,Language and Reality,Burwood (Melbourne)
ASR100,World Religions,Burwood (Melbourne)
ASR200,"Religion, Spirituality and Popular Culture",Burwood (Melbourne)
ASR205,"Mindfulness, Meditation, and Buddhism",Burwood (Melbourne)
ASR206,Gender and Sexuality in Islam,Burwood (Melbourne)
ASR207,Tibetan Buddhism,Burwood (Melbourne)
ASR208,Contemporary Islam,Burwood (Melbourne)
ASR300,"Religion, Rights and Governance",Burwood (Melbourne)
ASS101,Peoples of the World,Burwood (Melbourne)
ASS102,Culture and Communication,Burwood (Melbourne)
ASS203,Being Human (With the Nonhuman),Burwood (Melbourne)
ASS204,"Urban Spaces, Global Places",Burwood (Melbourne)
ASS205,Anthropology of Poverty and Development,Burwood (Melbourne)
ASS206,Medical Anthropology,Burwood (Melbourne)
ASS233,Myth and Ritual,Burwood (Melbourne)
ASS234,Environmental Anthropology,Burwood (Melbourne)
ASS329,Anthropology of Crime and Violence,Burwood (Melbourne)
ASS330,Cyborg Anthropology,Burwood (Melbourne)
AST205,"Sport, Bodies, Action!",Burwood (Melbourne)
EAD110,Communication Skills for Study and Work,Burwood (Melbourne)
EAD111,"Digital Literacy: Finding, Evaluating and Interpreting Information",Burwood (Melbourne)
EAD112,Critical Thinking and Problem Solving: Using Analysis to Develop Solutions,Burwood (Melbourne)
EAD113,Teamwork: Working Constructively with Others,Burwood (Melbourne)
ECA100,Engaging and Exploring Arts Education,Burwood (Melbourne)
ECA210,"Music Studies: Earth, Wind and Fire",Burwood (Melbourne)
ECA431,Arts Education Discipline Study 1,Burwood (Melbourne)
ECA432,Arts Education Discipline Study 2,Burwood (Melbourne)
ECA433,Arts Education Discipline Study 3,Burwood (Melbourne)
ECA434,Arts Education Discipline Study 4,Burwood (Melbourne)
ECA435,Arts Education Discipline Study 5,Burwood (Melbourne)
ECA436,Arts Education Discipline Study 6,Burwood (Melbourne)
ECA731,Arts Education Curriculum Inquiry,Burwood (Melbourne)
ECA732,Arts Education Curriculum Inquiry Senior Years,Burwood (Melbourne)
ECA733,Arts Education Critical Inquiry,Burwood (Melbourne)
ECA734,Arts Education Research Inquiry Senior Years,Burwood (Melbourne)
ECA736,Arts Education Curriculum Inquiry Senior Years 2,Burwood (Melbourne)
ECE110,Child Development 1,Burwood (Melbourne)
ECE111,Curriculum 1: Pedagogies and Play,Burwood (Melbourne)
ECE112,Curriculum 2: Planning and Assessment for Teaching and Learning,Burwood (Melbourne)
ECE116,"Promoting Health, Wellbeing and Nutrition",Burwood (Melbourne)
ECE120,Contemporary Perspectives of Education,Burwood (Melbourne)
ECE130,Partnerships with Families and Communities,Burwood (Melbourne)
ECE140,Creative Arts 1: Young Children and the Arts,Burwood (Melbourne)
ECE211,Mathematical Learning in the Early Years,Burwood (Melbourne)
ECE212,Curriculum 3: Planning and Assessment for Teaching and Learning,Burwood (Melbourne)
ECE220,Science 1: Science and Environmental Awareness for Young Children,Burwood (Melbourne)
ECE230,Language and Literacy Development in Early Childhood,Burwood (Melbourne)
ECE241,Creative Arts 2: Music and Visual Arts,Burwood (Melbourne)
ECE312,Lifespan Development,Burwood (Melbourne)
ECE320,Science 2: Science and Design Technology,Burwood (Melbourne)
ECE330,Multiliterate Learners in Early Years and School Environments,Burwood (Melbourne)
ECE340,Creative Learning Through the Arts,Burwood (Melbourne)
ECE345,Integrated Science and Technology Education,Burwood (Melbourne)
ECE360,Protective Education and Child Well-Being,Burwood (Melbourne)
ECE370,"Guiding Engaged, Resilient Learners",Burwood (Melbourne)
ECE404,Inclusive Education for Young Children,Burwood (Melbourne)
ECE420,Supporting Children Making Transitions,Burwood (Melbourne)
