code,title,campus,semester,year
CHIN 3231,Issues in Chinese Culture for Chinese Speakers,North Terrace Campus,Semester 2,2017
CHIN 1001,Chinese IA,North Terrace Campus,Semester 1,2016
CHIN 1002,Chinese IB,North Terrace Campus,Semester 2,2016
CHIN 2006,Chinese Literature & Media for Chinese Speakers,North Terrace Campus,Semester 1,2016
CHIN 2007,Chinese In-Country Summer School,North Terrace Campus,Summer,2016
CHIN 2201,Chinese IIA,North Terrace Campus,Semester 1,2016
CHIN 2202,Chinese IIB,North Terrace Campus,Semester 2,2016
CHIN 2213,Translation for Chinese Speakers: Chinese-English,North Terrace Campus,Semester 2,2016
CHIN 3006,Translation for Chinese Speakers: Chinese-English,North Terrace Campus,Semester 2,2016
CHIN 3007,Chinese IIIA,North Terrace Campus,Semester 1,2016
CHIN 3008,Chinese IIIB,North Terrace Campus,Semester 2,2016
CHIN 3009,Chinese IIIB Practical Chinese,North Terrace Campus,Semester 2,2016
CHIN 3010,Chinese In-Country Summer School,North Terrace Campus,Summer,2016
CHIN 3211,Chinese IIISA,North Terrace Campus,Semester 1,2016
CHIN 3212,Chinese IIISB,North Terrace Campus,Semester 2,2016
CHIN 3221,Translation for Chinese Speakers: English-Chinese,North Terrace Campus,Semester 1,2016
CHIN 3222,Translation for Chinese Speakers: Project,North Terrace Campus,Semester 1,2016
CHIN 3231,Issues in Chinese Culture for Chinese Speakers,North Terrace Campus,Semester 2,2016
CHIN 1001,Chinese IA,North Terrace Campus,Semester 1,2015
CHIN 1002,Chinese IB,North Terrace Campus,Semester 2,2015
CHIN 1015,Chinese and Western Thinking for Chinese Speakers,North Terrace Campus,Semester 2,2015
CHIN 2006,Chinese Literature & Media for Chinese Speakers,North Terrace Campus,Semester 1,2015
CHIN 2007,Chinese In-Country Summer School,North Terrace Campus,Summer,2015
CHIN 2008,Chinese In-Country,North Terrace Campus,Semester 2,2015
CHIN 2008,Chinese In-Country,North Terrace Campus,Semester 1,2015
CHIN 2201,Chinese IIA,North Terrace Campus,Semester 1,2015
CHIN 2202,Chinese IIB,North Terrace Campus,Semester 2,2015
CHIN 2213,Translation for Chinese Speakers: Chinese-English,North Terrace Campus,Semester 2,2015
CHIN 3211,Chinese IIISA,North Terrace Campus,Semester 1,2015
CHIN 3212,Chinese IIISB,North Terrace Campus,Semester 2,2015
CHIN 3221,Translation for Chinese Speakers: English-Chinese,North Terrace Campus,Semester 1,2015
CHIN 3222,Translation for Chinese Speakers: Project,North Terrace Campus,Semester 1,2015
CHIN 3231,Issues in Chinese Culture for Chinese Speakers,North Terrace Campus,Semester 2,2015
CHIN 3232,Research Project for Chinese Speakers,North Terrace Campus,Semester 2,2015
CHIN 3301,Chinese IIIA,North Terrace Campus,Semester 1,2015
