code,title,uni,state
ECMT6006,Applied Financial Econometrics,University of Sydney,NSW
AERO9301,Applied Finite Element Analysis,University of Sydney,NSW
CIVL6669,Applied Fluid Engineering Computing,University of Sydney,NSW
STAT3022,Applied Linear Models,University of Sydney,NSW
STAT3922,Applied Linear Models (Advanced),University of Sydney,NSW
MATH4405,Applied Mathematics (STABEX),University of Sydney,NSW
MATH4406,Applied Mathematics (STABEX),University of Sydney,NSW
CHNG9202,Applied Mathematics for Chemical Engineers,University of Sydney,NSW
MATH4401,Applied Mathematics Honours A,University of Sydney,NSW
MATH4402,Applied Mathematics Honours B,University of Sydney,NSW
MATH4403,Applied Mathematics Honours C,University of Sydney,NSW
CHNG2802,Applied Maths for Chemical Engineers,University of Sydney,NSW
DENT5200,Applied Oral Biology,University of Sydney,NSW
BIOL3020,Applied Plant Function,University of Sydney,NSW
PSYC4730,Applied Positive Psychology,University of Sydney,NSW
ENGG5820,Applied Project Management,University of Sydney,NSW
EDMT6004,Applied Research Psychology,University of Sydney,NSW
AMME5104,Applied Safety Systems and Risk Analysis,University of Sydney,NSW
SLEE5107,Applied Sleep Medicine,University of Sydney,NSW
STAT3914,Applied Statistics Advanced,University of Sydney,NSW
HSTY4101,Approach Seminar,University of Sydney,NSW
ASNS3690,Approaches to Research in Asian Studies,University of Sydney,NSW
AVBS3009,Aquaculture,University of Sydney,NSW
ARBC4011,Arabic Honours A,University of Sydney,NSW
ARBC4012,Arabic Honours B,University of Sydney,NSW
ARBC4013,Arabic Honours C,University of Sydney,NSW
ARBC4014,Arabic Honours D,University of Sydney,NSW
ARBC4111,Arabic Language and Cultures Thesis 1,University of Sydney,NSW
ARBC4112,Arabic Language and Cultures Thesis 2,University of Sydney,NSW
ARCO4105,Archaeological Research Approaches,University of Sydney,NSW
ARCO4104,Archaeological Research Themes,University of Sydney,NSW
