code,title,meta
HUM00271,Unruly Subjects: Citizenship (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
HUM00270,Doing Cultural Studies (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
HOS10644,Vocational Skills and Knowledge in Food (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  7Level of learning:  Introductory        
HOS03423,Aesthetics of Food and Wine (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
HOS03421,Food and Wine Technology (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
HOS03417,Principles of Gastronomy (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
ENP10645,Food Technology and Society (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ENO10183,Ecotechnology for Water Management (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ENM10640,Vocational Skills and Knowledge in Textiles (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  7Level of learning:  Introductory        
ENG20003,Concrete Structures (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ENG20002,Engineering Construction and Tendering (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ENG20001,Mechanics of Materials (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ENG10759,Processes and Philosophy of Engineering (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
ENG10758,Humanitarian Engineering Project (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
ENG10757,Applied Mechanics (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
ENG10022,Writing from the Edge (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
ENG00411,Writing Genre (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ENG00407,Writing for Performance (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
