Code,Title,Previously,Availability,Credit Points
ICT678,Information Technology Research Dissertation,,"MURDOCHMURDOCH: S1-internal, S1-external, S2-internal, S2-external, Y-internal, Y-external",12
ICT687,Structured Workplace Learning Placement - Information Technology,,"MURDOCHMURDOCH: S1-internal, S2-internal",12
ICT700,Computer Science Research Topic,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT702,Doctor of Information Technology Thesis,,"MURDOCHMURDOCH: R1-internal, R1-external, R2-internal, R2-external, RAU-internal, RAU-external, RSP-internal, RSP-external, S1-internal, S1-external, S2-internal, S2-external",12
ICT704,Information Systems Research Topic,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT708,Advanced Information Technology Research Project,2013: ICT7081,"MURDOCHMURDOCH: S1-internal, S2-internal",12
IDD118,Introduction to Graphic Design,2013: MCC1182014: 'Visual Communication',Not available,3
IDD129,Introduction to Digital Media Skills,2013: MCC1292013: 'Introduction to Digital Design',KAPLAN-SGPKAPLAN-SGP: TMA-internal,3
IDD325,Graphic Design Professional Placement,,Not available,3
IDD561,Honours Topic in Graphic Design A,,"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",3
IDD562,Honours Topic in Graphic Design B,,"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",3
IDD569,Honours Thesis in Graphic Design,,"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",12
IND101,Indonesian 1,2013: IND1612013: 'Indonesian 1A',"MURDOCHMURDOCH: S1-internal, S1-external, W-external",3
IND102,Indonesian 2,2013: IND1622013: 'Indonesian 1B',"MURDOCHMURDOCH: S2-internal, S2-external",3
IND201,Indonesian 3,,"MURDOCHMURDOCH: S1-internal, S1-external",3
IND202,Indonesian 4,,"MURDOCHMURDOCH: S2-internal, S2-external",3
IND203,Indonesian 5,,Not available,3
IND243,Semester in Indonesia,,"MURDOCHMURDOCH: S1-internal, S2-internal",12
IND301,Indonesian 6,,"MURDOCHMURDOCH: S1-internal, S1-external",3
IND302,Indonesian 7,,"MURDOCHMURDOCH: S2-internal, S2-external",3
IND443,Semester in Indonesia,,"MURDOCHMURDOCH: S1-internal, S2-internal",12
IND543,Semester in Indonesia,2013: IND643,"MURDOCHMURDOCH: S1-internal, S2-internal",12
IND652,Indonesian Advanced Language Project,2013: 'Indonesian Language Project',"MURDOCHMURDOCH: S1-internal, S1-external, S2-internal, S2-external",3
JOU104,Digital Newsgathering and Journalism,2013: MCC1042016: 'Introduction to Journalism',Not available,3
JOU217,Online and Mobile Journalism,2014: JOU3172016: 'Web News Production',"KAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
JOU245,Media Law and Ethics,,KAPLAN-SGPKAPLAN-SGP: TMA-internal,3
JOU322,Digital Newsroom,2016: 'Newsroom',KAPLAN-SGPKAPLAN-SGP: TMA-internal,3
JOU340,Journalism and Society,"2016: 'Politics, Journalism and Society'","KAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
JOU367,Video Journalism,2014: JOU2672016: 'Photo and Video Journalism',"KAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
JOU561,Honours Topic in Journalism A,,"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",3
JOU562,Honours Topic in Journalism B,,"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",3
JOU569,Honours Thesis in Journalism,,"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",12
JPN101,Japanese 1,2013: JPN1712013: 'Japanese IA',MURDOCHMURDOCH: S1-internal,3
JPN102,Japanese 2,,MURDOCHMURDOCH: S2-internal,3
JPN201,Japanese 3,,MURDOCHMURDOCH: AU3-internal,3
JPN202,Japanese 4,,MURDOCHMURDOCH: AU1-internal,3
JPN203,Japanese 5,,MURDOCHMURDOCH: S2-internal,3
