code,title,uni,state
BIOC2000,Biochemistry & Molecular Biology,University of Queensland,QLD
BIOC3000,Advanced Biochemistry and Molecular Biology,University of Queensland,QLD
BIOL2200,Cell Structure & Function,University of Queensland,QLD
CHEM2052,Chemical Biology,University of Queensland,QLD
CHEM2060,Intermediate Chemistry 2,University of Queensland,QLD
MICR2000,Microbiology & Immunology,University of Queensland,QLD
SCIE2020,CSI UQ: Introduction to Forensic Science,University of Queensland,QLD
BIOC3003,Human Molecular Genetics & Disease,University of Queensland,QLD
BIOC3005,Molecular Systems Biology,University of Queensland,QLD
BIOC3006,Biochemistry of Metabolism in Health and Disease,University of Queensland,QLD
BIOL3004,Genomics & Bioinformatics,University of Queensland,QLD
BIOL3006,Molecular Cell Biology,University of Queensland,QLD
BIOL1030,Global Challenges in Biology,University of Queensland,QLD
BIOL2010,Ecology,University of Queensland,QLD
BIOL3360,Analysis and Communication of Biological Data,University of Queensland,QLD
BIOL2015,Ecology Field Studies,University of Queensland,QLD
BIOL2201,Evolution,University of Queensland,QLD
BIOL2203,Plant Biology,University of Queensland,QLD
BIOL2204,Zoology,University of Queensland,QLD
BIOL2205,Insect Science,University of Queensland,QLD
GEOM2001,Geographical Information Systems,University of Queensland,QLD
MARS2014,Marine Science,University of Queensland,QLD
BIOL3000,Conservation,University of Queensland,QLD
BIOL3016,Outback Ecology Field Studies,University of Queensland,QLD
BIOL3215,Marine Ecology and Conservation,University of Queensland,QLD
BIOL3310,Macroecology and Biogeography,University of Queensland,QLD
BIOL3370,Animal-Plant Interactions,University of Queensland,QLD
BIOL3009,Arthropods & Human Health,University of Queensland,QLD
BIOL3023,Tropical Marine Ecosystems,University of Queensland,QLD
BIOL3204,Plant Adaptation and Global Change,University of Queensland,QLD
BIOL3205,Physiological and Integrative Zoology,University of Queensland,QLD
BIOL3207,Animal Behaviour,University of Queensland,QLD
BIOL3209,"Biodiversity Analysis, Discovery and Systematics",University of Queensland,QLD
BIOL3227,Plant Identification and Vegetation Classification,University of Queensland,QLD
BIOL3232,Insect Identification and Taxonomy,University of Queensland,QLD
BIOL3236,Climate Change Biology,University of Queensland,QLD
BIOL3320,Vertebrate Diversity and Evolution,University of Queensland,QLD
BIOL3340,"Fish, Fisheries and Aquaculture",University of Queensland,QLD
BIOL3350,Genetics and Evolution of Complex Traits: From Humans to Non-Model Organisms,University of Queensland,QLD
BIOL3380,Laboratory Skills in Genetic Research,University of Queensland,QLD
BIOL3390,Genome Evolution,University of Queensland,QLD
CONS3017,Landscape Ecology,University of Queensland,QLD
BIOL3014,Advanced Bioinformatics,University of Queensland,QLD
BIOL3203,Plant Molecular Biology & Biotechnology,University of Queensland,QLD
BIOL3222,Model Organism Genetics,University of Queensland,QLD
MICR3002,Virology,University of Queensland,QLD
MICR3003,Molecular Microbiology,University of Queensland,QLD
MICR3004,Microbial Genomics,University of Queensland,QLD
BIOL3211,Marine Invertebrates,University of Queensland,QLD
ERTH3110,Marine Geoscience and Paleoceanography,University of Queensland,QLD
ERTH3212,Geology of Coral Reefs,University of Queensland,QLD
MARS3012,Physical-biological Oceanography,University of Queensland,QLD
MICR3001,Microbes & Human Health,University of Queensland,QLD
BIOL3003,Advanced Immunology,University of Queensland,QLD
PARA3002,Biomedical Parasitology,University of Queensland,QLD
BIOL3011,Plant Microbe & Insect Interactions,University of Queensland,QLD
BIOL3200,Current Topics in Plant Science,University of Queensland,QLD
BIOL3201,Plant Diseases,University of Queensland,QLD
BIOL3202,Plant Biology II,University of Queensland,QLD
BIOL3210,Fungal Biology,University of Queensland,QLD
PLNT3012,Weed Science,University of Queensland,QLD
BIOL3238,"Insect Structure, Function & Physiology",University of Queensland,QLD
BIOL3239,Brain to Behaviour: Invertebrate Neuroethology,University of Queensland,QLD
BIOM2013,Advanced Integrative Cell & Tissue Biology,University of Queensland,QLD
BIOM2222,Advanced Techniques in Biomedical Science,University of Queensland,QLD
BIOM3333,Principles of Biomedical Research,University of Queensland,QLD
"[	
	BIOM6501",Research Project in Biomedical Sciences,University of Queensland,QLD
"[	
	BIOM6502",Research Project in Biomedical Sciences,University of Queensland,QLD
"[	
	BIOM6503",Research Project in Biomedical Sciences,University of Queensland,QLD
BIOL2202,Genetics,University of Queensland,QLD
BIOM2012,Systems Physiology,University of Queensland,QLD
BIOM2020,Human Anatomy,University of Queensland,QLD
BIOM2208,Differentiation & Development,University of Queensland,QLD
BIOM2402,Principles of Pharmacology,University of Queensland,QLD
SCIE3220,Biomedical Science Research Skills,University of Queensland,QLD
SCIE3221,Biomedical Science Research Project,University of Queensland,QLD
SCIE3222,Advanced Biomedical Science Research Project,University of Queensland,QLD
SCIE3223,Advanced Biomedical Science Research Project,University of Queensland,QLD
SCIE3224,Advanced Biomedical Science Research Project,University of Queensland,QLD
SCIE3225,Advanced Biomedical Science Research Project,University of Queensland,QLD
SCIE3226,Advanced Biomedical Science Research Project,University of Queensland,QLD
SCIE3260,"Introduction to Research in Chemistry, Biochemistry & Microbiology (A)",University of Queensland,QLD
SCIE3261,"Introduction to Research in Chemistry, Biochemistry & Microbiology (B)",University of Queensland,QLD
ANAT3022,Functional Neuroanatomy,University of Queensland,QLD
BIOM3002,Human Biomedical Anatomy,University of Queensland,QLD
BIOM3003,Functional Musculoskeletal Anatomy,University of Queensland,QLD
BIOM3014,Molecular & Cellular Physiology,University of Queensland,QLD
BIOM3015,Integrative Physiology & Pathophysiology,University of Queensland,QLD
BIOM3020,Integrated Endocrinology,University of Queensland,QLD
BIOM3401,Systems Pharmacology,University of Queensland,QLD
BIOM3402,Experimental Pharmacology,University of Queensland,QLD
BIOT3002,Drug Design & Development,University of Queensland,QLD
DEVB3001,Developmental Neurobiology,University of Queensland,QLD
DEVB3002,Stem Cells and Regenerative Medicine,University of Queensland,QLD
NEUR3001,Molecular & Cellular Neuroscience,University of Queensland,QLD
NEUR3002,The Integrated Brain,University of Queensland,QLD
CHEM1200,Chemistry 2,University of Queensland,QLD
CHEM2054,Experimental Chemistry,University of Queensland,QLD
CHEM2901,Advanced Chemistry 1,University of Queensland,QLD
CHEM2902,Advanced Chemistry 2,University of Queensland,QLD
CHEM3001,Advanced Organic Chemistry,University of Queensland,QLD
CHEM3004,Determination of Molecular Structure,University of Queensland,QLD
CHEM3010,Advanced Inorganic Chemistry,University of Queensland,QLD
CHEM3011,Advanced Physical Chemistry,University of Queensland,QLD
CHEM3016,Advanced Experimental Chemistry,University of Queensland,QLD
"[	
	CHEM6511",Honours in Chemistry,University of Queensland,QLD
