course_name,course_code,meta,meta_second
Domestic and Family Violence,HLTH90007,"Offered Term 2, Term 4, 2020","Graduate coursework, 12.5 credit points "
Design Realisation and Collaboration B,FLTV90008,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Chemistry Research Project Pt 3,CHEM90032,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
Leading in Data Driven Organisations,MGMT90244,"Offered August, 2020","Graduate coursework, 12.5 credit points "
"Congenital,Obsetric& Medical Conditions",MEDI90047,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Electronic System Design,ELEN90053,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Bioinformatics Research Project Pt 3,BINF90010,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Graduate coursework, 25 credit points "
Dissertation Part 1,MUSI40104,"Offered Semester 1, Semester 2, 2020","Honours, 18.75 credit points "
Fundamentals of Surgery I,SURG90023,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Supply Chain Analysis,MGMT90122,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Impact of Digitisation,ISYS90051,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Practical Study 1,MUSI40016,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 4, 12.5 credit points "
Mathematics for Economists,ECON40017,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Managing IT Professionals,ISYS90091,"Offered Term 4, 2020","Graduate coursework, 12.5 credit points "
Project in Neuroscience,NEUR90016,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Animal Disease Biotechnology 2,ANSC30002,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Human Rights: Global Policy and Practice,LAWS90175,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Child and Family Welfare,SCWK90039,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Particle Physics,PHYC90011,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Ed Psych Practicum 4,EDUC90216,"Offered Year Long, 2020","Graduate coursework, 12.5 credit points "
Multi-level Government,LAWS90180,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Research and Evidence 1,PHTY90094,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 6.25 credit points "
Research Project in Comp Biology Pt2,SCIE90024,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 37.5 credit points "
Indigenous Policy Analysis,SOCI90018,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Design and Production Global Atelier,DPSS30007,"Offered June, 2020","Undergraduate Level 3, 12.5 credit points "
Content in the Field,CUMC90023,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Scriptwriting 2,FLTV70026,"Offered Semester 1, 2020","Graduate coursework Level 7, 25 credit points "
Sustainable Management of Design Assets,PROP30002,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Financial Econometrics,ECOM40004,"Offered Semester 2, 2020","Honours, 12.5 credit points "
"Online Streaming, Film and TV Law",LAWS70080,"Offered May, 2020","Graduate coursework Level 7, 12.5 credit points "
Statistical Modelling,MAST90084,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Tax Litigation,LAWS70266,"Offered Semester 2 (Extended), 2020","Graduate coursework Level 7, 12.5 credit points "
Sedimentary Basins and Resource Analysis,GEOL90048,"Offered March, 2020","Graduate coursework, 6.25 credit points "
International Migration,SOCI90010,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Travelling Design & Performance Studio,DPSS20009,"Offered Summer Term, 2020","Undergraduate Level 2, 12.5 credit points "
Dental Research Project B,DENT90123,"Offered Year Long (Extended), 2020","Graduate coursework, 12.5 credit points "
Business and Human Rights,LAWS70382,"Offered May, 2020","Graduate coursework Level 7, 12.5 credit points "
Complex Building Energy Modelling,ABPL90153,"Offered Summer Term, 2020","Graduate coursework, 12.5 credit points "
Computational Biomechanics,BMEN90022,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
The Philosophy of Philosophy,PHIL30007,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Performance Design Technology,THTR10009,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Clinical Teaching Practice (Sec) 1 Ext,EDUC91010,"Offered Year Long, 2020","Graduate coursework, 12.5 credit points "
