code,title
BENG2015,Biomedical Engineering Fundamentals
BENG3016,Medical Imaging Systems
BENG3017,Medical Image and Signal Processing
BENG4018,Advanced Medical Imaging Systems
BIOL1110,Genes to Organisms
BIOL1210,Human Biology
BIOL1310,Organisms to Ecosystems
BIOL1320,Biological Basis of Behaviour
BIOL1610,Biology in Practice
BIOL1620,Foundation in Medical Sciences
BIOL1910,Advanced Science (Biology) 1
BIOL2110,Genetics
BIOL2210,Life Processes
BIOL2220,Systems Physiology
BIOL2230,Neurophysiology
BIOL2310,Diversity of Life
BIOL2320,Science of Sex
BIOL2410,Ecology
BIOL2420,Marine Environmental Issues
BIOL2510,Evolution
BIOL2520,History of Life
BIOL2610,Biological Data Analysis
BIOL2910,Advanced Science (Biology) 2
BIOL3110,Evolutionary and Conservation Genetics
BIOL3120,Human Genetics and Evolutionary Medicine
BIOL3210,Advanced Human Physiology
BIOL3310,Invertebrate Biology
BIOL3320,Animal Behaviour
BIOL3330,Symbiosis in Health and Disease
BIOL3410,Plant Biology
BIOL3420,Biodiversity and Conservation
BIOL3430,Evolutionary Ecology
BIOL3440,Aquatic Ecosystems
BIOL3450,Reef Evolution and Dynamics
BIOL3510,Vertebrate Evolution
BIOL3520,Palaeobiology
BIOL3610,Biology Special Interest Project
BIOL3620,Biological Sciences Capstone
BIOL3630,Special Interest Topics in Biology
BIOL3640,PACE Experience in Biological Sciences
BIOL3910,Advanced Science (Biology) 3
BIOL6110,Genetics
BIOL6210,Life Processes
BIOL6310,Diversity of Life
BIOL6410,Ecology
BIOL6510,Evolution
BIOL6610,Biological Data Analysis
BIOL7130,Research Skills for Biology
BIOL7160,Advanced Studies in Neuroethology
BIOL7610,Conservation and Management of Wild Populations
BIOL7660,Advanced Studies in Palaeobiology
BIOL7870,Regional and Global Conservation
BIOL7900,Research Frontiers in Biology
BIOL7910,Research Topic in Biology 1
BIOL7915,Research Topic in Biology 2
BIOL7920,Topics in Evolution
BIOL7925,Biology in the 21st Century
BIOL7930,Marine Conservation and Management
BIOL7935,Advanced Research Topics in Biology
BIOL8600,Biology Research Experience
BIOL8610,Conservation and Management of Wild Populations
BIOL8710,Conservation in Practice
BIOL8720,Cross Institutional Study
BIOL8740,Biodiversity Survey and Monitoring
BIOL8750,Contemporary Conservation in Australia
BIOL8760,Climate Change Biology: Impacts and Adaptation
BIOL8770,Topics in Australian Marine Science
BIOL8870,Regional and Global Conservation
BIOL8930,Advanced Marine Conservation and Management
BIOL8990,Master of Research - Biology
BIOM8990,Master of Research - Biomedical Science
BIOX1110,Genes to Organisms 
BIOX1210,Human Biology
BIOX1310,Organisms to Ecosystems 
BIOX1320,Biological Basis of Behaviour
BIOX1610,Biology in Practice
BIOX2320,Science of Sex
BMOL1001,Biomolecules
BMOL2201,Biochemistry and Cell Biology
BMOL2401,Microbiology and Molecular Biology
BMOL3201,Advanced Biochemistry and Cell Biology
BMOL3202,Macromolecules
BMOL3401,Applied and Medical Microbiology
BMOL3402,Molecular Biology and Genomics
BMOL6201,Biochemistry and Cell Biology
BMOL6202,Macromolecules
BMOL6231,Advanced Biochemistry and Cell Biology
BMOL6401,Microbiology and Molecular Biology
BMOL6431,Applied and Medical Microbiology
BMOL6432,Molecular Biology and Genomics
BUSA1027,Demographic Fundamentals
BUSA2020,Fundamentals of Business Analytics
BUSA3015,Business Forecasting
BUSA3020,Advanced Analytics Techniques
BUSA3021,Business Analytics Project
BUSA6004,Managing Data
BUSA8000,Techniques in Business Analytics
BUSA8001,Applied Predictive Analytics
BUSA8004,Data Based Decision Making
